Final Chamfer Averages
=================

Slice64 Averages:
glass_box: 0.006482610097117446
cone: 0.01047009220799138
door: 0.005014270182225524
curtain: 0.004800956120406657
plant: 0.0080327857556276
wardrobe: 0.005882774930268028
range_hood: 0.006561542540718477
dresser: 0.006641800140253564
night_stand: 0.010104883794478315
bookshelf: 0.006432575946987018
tent: 0.008801382390396862
stairs: 0.0069194617673266874
lamp: 0.006478379096254504
piano: 0.007047606709179776
sink: 0.0060141252088436485
bathtub: 0.005543830259742346
person: 0.005262936304427622
xbox: 0.005608234971206436
desk: 0.007477997236609773
bench: 0.00509366896202452
sofa: 0.005275308007639118
guitar: 0.004757515569888694
airplane: 0.005675992661032855
mantel: 0.005725321325670478
chair: 0.006589437930667942
laptop: 0.00802734990747436
cup: 0.008929597175682343
flower_pot: 0.00980690067185205
monitor: 0.007156632180374942
radio: 0.005827127857187279
bed: 0.006298414326434479
toilet: 0.008101409489019622
bowl: 0.010842438792826151
stool: 0.006417933528003229
vase: 0.007894532289138436
bottle: 0.005142057856600174
car: 0.004974042750830451
table: 0.008504526326217678
tv_stand: 0.0056362506360430565
keyboard: 0.005025951061646187
Overall Slice64 Average: 0.006782016374157892

Slice128 Averages:
glass_box: 0.005098019413645553
cone: 0.00778216844489029
door: 0.0026306493852658024
curtain: 0.0025833718748154186
plant: 0.005566760851193358
wardrobe: 0.0032410583125007364
range_hood: 0.0038428464895078366
dresser: 0.00406370054619951
night_stand: 0.0061138329473687135
bookshelf: 0.004090648864009542
tent: 0.00524335668354026
stairs: 0.004024258208038621
lamp: 0.0033176747827665617
piano: 0.004130518485408845
sink: 0.003381258439432835
bathtub: 0.0029948787657279527
person: 0.002811790315500742
xbox: 0.0029945089774902718
desk: 0.004042212959800346
bench: 0.002917765148635204
sofa: 0.003042202256492361
guitar: 0.0024797729610989703
airplane: 0.0029522331014313077
mantel: 0.003244324992180118
chair: 0.003938017855818889
laptop: 0.00706090289501921
cup: 0.006371747160941821
flower_pot: 0.006771681631773284
monitor: 0.00489538437391969
radio: 0.003132855543202054
bed: 0.0035214838488062967
toilet: 0.005511791284642555
bowl: 0.007794921641387016
stool: 0.005041078539392776
vase: 0.0054295672730598635
bottle: 0.002759535396525997
car: 0.0025841224471611947
table: 0.004517777419851614
tv_stand: 0.003279306548141366
keyboard: 0.00261469775407335
Overall Slice128 Average: 0.004195367120516455

Voxel64 Averages:
glass_box: 0.0036014969781576556
cone: 0.012738019064063003
door: 0.00046127018862232827
curtain: 0.00023763281202057848
plant: 0.00533911518129075
wardrobe: 0.0020398311750788696
range_hood: 0.004563852704846183
dresser: 0.004482225605817654
night_stand: 0.010537212642050988
bookshelf: 0.0006436080986878008
tent: 0.0032193356482614474
stairs: 0.003036870617741186
lamp: 0.0023261417664441997
piano: 0.003983952990845072
sink: 0.0033492562620963244
bathtub: 0.001162350683970318
person: 0.0005135481086214378
xbox: 0.0017492546406196092
desk: 0.0033327752483919195
bench: 0.0005178158507739297
sofa: 0.0006648169826202159
guitar: 0.00017003429866641861
airplane: 0.002091399393592623
mantel: 0.0040124126716694335
chair: 0.0032971540495269356
laptop: 0.005864241316780886
cup: 0.004933568065466368
flower_pot: 0.005761639511878476
monitor: 0.003701401869222145
radio: 0.001857774496058681
bed: 0.002106786230055147
toilet: 0.0037396631646270414
bowl: 0.0018339287683071313
stool: 0.0018993978093606065
vase: 0.003172059882919926
bottle: 0.00015198390352039106
car: 0.0005496325834521708
table: 0.004267685875200518
tv_stand: 0.0016188178989041506
keyboard: 0.00013137054448390548
Overall Voxel64 Average: 0.0029915333896178603

Voxel128 Averages:
glass_box: 0.0036793835546583536
cone: 0.01138887660842131
door: 0.00022257037928481187
curtain: 0.0001032438322584169
plant: 0.0038800444579751886
wardrobe: 0.0007796799117482666
range_hood: 0.0026193814760543965
dresser: 0.002155529135639868
night_stand: 0.005868004155722818
bookshelf: 0.00042562336892084084
tent: 0.0017066691201266266
stairs: 0.0016369600712245593
lamp: 0.0007766129959838884
piano: 0.0019314197612923464
sink: 0.0014544418660987807
bathtub: 0.0003427184245682344
person: 0.0001731392761114468
xbox: 0.0004455192492602473
desk: 0.0013735450256352677
bench: 0.00021374546012494422
sofa: 0.000197596747813796
guitar: 0.00013494822235410293
airplane: 0.0006737281541922955
mantel: 0.0017943535659653658
chair: 0.001552691119194074
laptop: 0.004702413931116136
cup: 0.0034357460235420415
flower_pot: 0.004578986388077382
monitor: 0.00218209908145316
radio: 0.0006010876657712613
bed: 0.0008459865811007019
toilet: 0.002267388853024381
bowl: 0.001292178505225068
stool: 0.0007880021419756627
vase: 0.002484516423428636
bottle: 5.0771855355760415e-05
car: 8.314867899358529e-05
table: 0.001968701347616467
tv_stand: 0.0006123603031064302
keyboard: 9.797081101274882e-05
Overall Voxel128 Average: 0.0017880446132857424

