Processing Log
Voxel128: 5.719764158382737e-06

glass_box: glass_box_0028
Slice64: 0.0045773820499215665
Slice128: 0.0025105125717757755
Voxel64: 1.2483775811198638e-05
Voxel128: 1.2483775811198638e-05

glass_box: glass_box_0093
Slice64: 0.006290679105351123
Slice128: 0.002421740391699247
Voxel64: 1.6056673104421433e-05
Voxel128: 1.6056673104421433e-05

glass_box: glass_box_0098
Slice64: 0.005285804640627795
Slice128: 0.0026036796626631095
Voxel64: 1.558919162206915e-05
Voxel128: 1.558919162206915e-05

glass_box: glass_box_0029
Slice64: 0.005049601494947248
Slice128: 0.0024239219111553394
Voxel64: 2.0247244805712334e-07
Voxel128: 2.0247244805712334e-07

glass_box: glass_box_0118
Slice64: 0.006281536933481014
Slice128: 0.0024143649062738823
Voxel64: 2.373181722677372e-05
Voxel128: 2.373181722677372e-05

glass_box: glass_box_0031
Slice64: 0.005056537871768903
Slice128: 0.0027776705055284237
Voxel64: 1.0152779665101903e-05
Voxel128: 1.0152779665101903e-05

glass_box: glass_box_0104
Slice64: 0.006455810490548323
Slice128: 0.002787021883376031
Voxel64: 2.1327502166957703e-05
Voxel128: 2.1327502166957703e-05

glass_box: glass_box_0043
Slice64: 0.0045773820499215665
Slice128: 0.0025105125717757755
Voxel64: 1.2483775811198638e-05
Voxel128: 1.2483775811198638e-05

glass_box: glass_box_0139
Slice64: 0.005649859651375451
Slice128: 0.0027280661374882347
Voxel64: 0.002915852693802061
Voxel128: 0.0027889679911476547

glass_box: glass_box_0078
Slice64: 0.0061769276082447346
Slice128: 0.0021485772452937433
Voxel64: 0.0018536208664707726
Voxel128: 7.199014123269994e-06

glass_box: glass_box_0048
Slice64: 0.007538102201853572
Slice128: 0.0034758042861555184
Voxel64: 3.4494910847553576e-05
Voxel128: 3.4494910847553576e-05

glass_box: glass_box_0155
Slice64: 0.005958250910473913
Slice128: 0.0032420995253585796
Voxel64: 6.602261355213727e-06
Voxel128: 6.602261355213727e-06

glass_box: glass_box_0116
Slice64: 0.005326768125778246
Slice128: 0.0030202045257968916
Voxel64: 5.29216541471026e-05
Voxel128: 5.29216541471026e-05

glass_box: glass_box_0115
Slice64: 0.0033944543001359607
Slice128: 0.002148848028443939
Voxel64: 0.0023757860204158166
Voxel128: 0.0010348591307312118

glass_box: glass_box_0136
Slice64: 0.00766409307214589
Slice128: 0.0031289154123374527
Voxel64: 0.0012940725642714267
Voxel128: 4.17513923665958e-05

glass_box: glass_box_0108
Slice64: 0.00498515776089908
Slice128: 0.002559740095596192
Voxel64: 6.108444026586937e-09
Voxel128: 6.108444026586937e-09

glass_box: glass_box_0100
Slice64: 0.006281536933481014
Slice128: 0.0024143649062738823
Voxel64: 2.373181722677372e-05
Voxel128: 2.373181722677372e-05

glass_box: glass_box_0009
Slice64: 0.005034197687174034
Slice128: 0.0024648931010110096
Voxel64: 2.0272547113269157e-07
Voxel128: 2.0272547113269157e-07

glass_box: glass_box_0014
Slice64: 0.005612039889599343
Slice128: 0.002758666333053011
Voxel64: 1.4289938418002027e-05
Voxel128: 1.4289938418002027e-05

glass_box: glass_box_0113
Slice64: 0.0015783645372787623
Slice128: 0.0007891854198606384
Voxel64: 7.108540542511516e-09
