Processing Log
glass_box: glass_box_0028
Slice64: 0.004414515111717857
Slice128: 0.0024732060153191127
Voxel64: 1.5850676993498627e-05
Voxel128: 1.5850676993498627e-05

glass_box: glass_box_0093
Slice64: 0.006154689702353705
Slice128: 0.0025285089580782544
Voxel64: 1.7495086363100767e-05
Voxel128: 1.7495086363100767e-05

glass_box: glass_box_0098
Slice64: 0.00516971159645193
Slice128: 0.002545004168496925
Voxel64: 1.983561363270397e-05
Voxel128: 1.983561363270397e-05

glass_box: glass_box_0029
Slice64: 0.004886895734398791
Slice128: 0.00239674695109425
Voxel64: 2.152110154650196e-07
Voxel128: 2.152110154650196e-07

glass_box: glass_box_0118
Slice64: 0.006244003409639234
Slice128: 0.002498111463866308
Voxel64: 2.7102074349148412e-05
Voxel128: 2.7102074349148412e-05

glass_box: glass_box_0031
Slice64: 0.00502037196235699
Slice128: 0.0027685826350680775
Voxel64: 1.2884772731762411e-05
Voxel128: 1.2884772731762411e-05

glass_box: glass_box_0104
Slice64: 0.006644209482136356
Slice128: 0.0027956615672185387
Voxel64: 2.1995705063064805e-05
Voxel128: 2.1995705063064805e-05

glass_box: glass_box_0043
Slice64: 0.004414515111717857
Slice128: 0.0024732060153191127
Voxel64: 1.5850676993498627e-05
Voxel128: 1.5850676993498627e-05

glass_box: glass_box_0139
Slice64: 0.006004449321423852
Slice128: 0.0028621601234253232
Voxel64: 0.0046328456090820435
Voxel128: 0.004390450904396244

glass_box: glass_box_0078
Slice64: 0.006953861153957743
Slice128: 0.0020687465245772885
Voxel64: 0.0029668477928094174
Voxel128: 7.805916566776499e-06

glass_box: glass_box_0048
Slice64: 0.008135455357000762
Slice128: 0.0036746069093068524
Voxel64: 3.656922136212155e-05
Voxel128: 3.656922136212155e-05

glass_box: glass_box_0155
Slice64: 0.005980259566259399
Slice128: 0.003259988560366622
Voxel64: 8.370265321939032e-06
Voxel128: 8.370265321939032e-06

glass_box: glass_box_0116
Slice64: 0.0052805530239201795
Slice128: 0.0031537437310888657
Voxel64: 7.026872797730425e-05
Voxel128: 7.026872797730425e-05

glass_box: glass_box_0115
Slice64: 0.003720626046600464
Slice128: 0.0022113892247259443
Voxel64: 0.004536401351206929
Voxel128: 0.0018223660082418646

glass_box: glass_box_0136
Slice64: 0.008757346933188219
Slice128: 0.003219878237411425
Voxel64: 0.0020084803706265043
Voxel128: 4.490111810634704e-05

glass_box: glass_box_0108
Slice64: 0.005036929985585872
Slice128: 0.0025875145203309354
Voxel64: 6.220690266450913e-09
Voxel128: 6.220690266450913e-09

glass_box: glass_box_0100
Slice64: 0.006244003409639234
Slice128: 0.002498111463866308
Voxel64: 2.7102074349148412e-05
Voxel128: 2.7102074349148412e-05

